beer_id,look,smell,taste,feel,overall
203086,3.5,3.5,3.0,3.5,3.25
203086,2.75,2.75,2.75,2.75,2.75
203086,3.0,3.0,3.0,3.0,3.0
203086,3.0,3.0,2.75,2.75,2.75
203086,4.0,3.5,3.75,3.75,3.75
203086,3.25,3.25,3.25,3.25,3.25
203086,2.75,2.75,2.75,2.75,2.75
203086,4.0,3.75,3.5,3.5,3.5
203086,3.5,3.25,3.5,3.5,3.25
203086,3.75,4.25,4.0,3.75,4.0
203086,3.0,3.25,3.25,3.25,3.25
203086,3.75,3.75,4.0,4.0,4.0
203086,3.0,3.5,3.25,3.25,3.5
265102,3.5,3.5,3.75,3.75,3.5
265102,3.5,3.5,3.75,4.0,3.75
265102,3.0,3.0,3.0,3.0,3.0
279957,4.0,4.0,4.0,4.0,4.0
279957,4.25,4.0,3.75,4.25,3.75
279957,4.0,4.0,4.0,4.0,4.0
279957,4.25,4.0,4.0,4.0,4.0
279957,4.5,4.25,4.0,4.0,4.0
279957,4.0,4.25,4.0,4.0,4.0
279957,4.0,4.0,4.0,3.75,4.0
279957,3.5,3.5,3.5,3.5,3.5
279957,4.25,4.0,4.75,4.5,4.25
279957,4.0,3.75,3.75,4.0,3.75
279957,4.25,4.5,4.0,4.0,4.0
279957,4.5,3.75,4.0,4.0,4.0
350917,4.25,4.75,4.5,4.25,4.5
350917,4.25,4.25,4.25,4.25,4.25
350917,4.25,4.25,4.5,4.25,4.25
350917,4.5,4.25,4.5,4.25,4.25
350917,4.0,4.5,4.25,4.25,4.25
350917,4.25,4.25,4.5,4.5,4.25
350917,4.0,4.0,3.75,3.75,3.75
350917,4.0,4.25,4.25,4.25,4.25
350917,4.25,4.25,4.5,4.25,4.5
350917,5.0,5.0,5.0,5.0,5.0
350917,4.5,4.0,4.5,4.5,4.5
350917,4.75,4.75,4.75,4.75,4.75
350917,4.5,4.25,4.75,4.5,4.5
350917,4.75,4.75,4.75,4.5,4.5
350917,4.25,4.25,4.0,4.5,4.25
350917,4.25,4.5,4.75,4.75,4.75
138548,5.0,5.0,5.0,5.0,5.0
138548,4.0,4.25,4.5,4.25,4.25
138548,3.75,4.5,4.75,4.75,5.0
138548,4.0,4.0,4.0,4.0,4.0
138548,4.0,3.75,4.0,3.75,4.25
138548,3.25,3.25,3.25,3.25,3.25
138548,4.0,4.25,3.25,3.75,3.25
138548,4.25,3.75,4.0,4.0,4.0
138548,4.5,3.25,3.75,4.0,3.75
138548,4.0,3.75,3.75,3.75,3.75
