beer_id,beer_name,beer_style,look,smell,taste,feel,overall,availability,abv,brewery_id,brewery_name,city,state,country,types
203086,Hopper House Double IPA,American Imperial IPA,3.326923076923077,3.3461538461538463,3.2884615384615383,3.3076923076923075,3.3076923076923075,Year-round,8.0,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
296880,Juiceton,New England IPA,4.33,4.3,4.33,4.32,4.31,Rotating,8.5,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
319844,Rauchtabout,Irish Dry Stout,3.5833333333333335,3.5,3.5,3.4166666666666665,3.5,Rotating,4.5,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
356864,Hat Trick,New England IPA,4.2,4.2,4.1,4.15,4.2,Rotating,7.0,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
334690,Tiny Gypsies,New England IPA,4.5,4.535714285714286,4.571428571428571,4.464285714285714,4.571428571428571,Rotating,6.5,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
296852,Hops Drop IPA,New England IPA,4.239130434782608,4.25,4.239130434782608,4.173913043478261,4.217391304347826,Rotating,6.5,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
203201,Hop Option - El Dorado,American IPA,3.75,3.4,3.35,3.65,3.45,Rotating,7.0,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
226016,Hop Gusher,American IPA,3.8802083333333335,3.9375,3.9583333333333335,3.9479166666666665,3.9427083333333335,Rotating,6.5,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
329803,Cosmic Clouds,New England IPA,4.375,4.354166666666667,4.25,4.333333333333333,4.270833333333333,Rotating,8.0,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
346362,Hopkeem,New England IPA,4.222222222222222,4.333333333333333,4.388888888888889,4.361111111111111,4.333333333333333,Rotating,8.0,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
203080,Boomtown Blonde,American Blonde Ale,3.239130434782609,3.032608695652174,3.152173913043478,3.1956521739130435,3.152173913043478,Year-round,5.5,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
342108,Five % Tint - Citra,New England IPA,4.5,4.386363636363637,4.409090909090909,4.295454545454546,4.363636363636363,Rotating,5.0,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
203202,Hop Option - Amarillo,American IPA,3.4166666666666665,3.3333333333333335,3.375,3.375,3.4166666666666665,Rotating,7.0,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
203087,Honey Hole ESB,English Extra Special / Strong Bitter (ESB),3.5725806451612905,3.5161290322580645,3.532258064516129,3.5403225806451615,3.524193548387097,Year-round,7.0,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
315300,Five % Tint,New England IPA,4.04,4.04,4.06,4.0,4.03,Rotating,5.0,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
244883,Aceite Crudo,Russian Imperial Stout,3.95,3.825,3.875,3.975,3.85,Rotating,11.0,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
203085,Toolpusher Pale Ale,American Pale Ale (APA),3.203125,3.109375,3.1875,3.1875,3.15625,Year-round,5.5,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
272707,Houston Haze,New England IPA,4.333333333333333,4.336206896551724,4.307471264367816,4.275862068965517,4.32183908045977,Rotating,6.5,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
313100,Draped Up,New England IPA,4.318181818181818,4.284090909090909,4.25,4.204545454545454,4.238636363636363,Rotating,6.8,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
346360,High Knees,New England IPA,4.291666666666667,4.166666666666667,4.291666666666667,4.416666666666667,4.25,Rotating,8.0,43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
265102,Boerne Blonde,American Blonde Ale,3.3333333333333335,3.3333333333333335,3.5,3.5833333333333335,3.4166666666666665,Rotating,5.5,46205,Cibolo Creek Brewing Company,Boerne,TX,US,"Brewery, Bar, Eatery"
279957,Morning Wood,Russian Imperial Stout,4.125,4.0,3.9791666666666665,4.0,3.9375,Rotating,10.0,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
113110,Mud Turtle,Scotch Ale / Wee Heavy,3.625,3.6666666666666665,3.5972222222222223,3.486111111111111,3.513888888888889,Rotating,9.1,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
228072,Sam's Strawberry Shortcake,American Cream Ale,3.8333333333333335,3.75,3.8333333333333335,3.8333333333333335,3.75,Rotating,5.8,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
307915,Pecan Pie,Scottish Ale,3.8,3.75,3.95,3.95,3.95,Rotating,9.3,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
172605,White Raz,Belgian Witbier,4.083333333333333,3.9166666666666665,3.9166666666666665,3.8333333333333335,3.9166666666666665,Rotating,5.8,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
156832,Sam's Daily,American Cream Ale,3.5064102564102564,3.2884615384615383,3.3974358974358974,3.4935897435897436,3.4294871794871793,Rotating,5.8,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
182890,Peach Rotundone,Belgian Saison,3.6666666666666665,3.7083333333333335,3.7083333333333335,3.7083333333333335,3.6666666666666665,Rotating,9.0,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
117487,Don't Fear The RIPA,Rye Beer,3.803030303030303,3.6515151515151514,3.6515151515151514,3.6742424242424243,3.6666666666666665,Spring,7.5,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
251607,Buzz Nutz,American Porter,3.977272727272727,3.7954545454545454,3.75,3.659090909090909,3.75,Fall,7.3,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
123595,Summer's Wit,Belgian Witbier,3.5925925925925926,3.509259259259259,3.6574074074074074,3.7222222222222223,3.5925925925925926,Summer,6.0,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
85178,More Cowbell,American Imperial IPA,3.8669354838709675,3.713709677419355,3.723790322580645,3.7338709677419355,3.7358870967741935,Rotating,9.1,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
99377,Meer Koebel,Belgian IPA,3.825,3.85,3.775,3.725,3.8,Rotating,9.1,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
168804,Saigon Sunset,American Black Ale,3.71875,3.71875,3.703125,3.59375,3.6875,Rotating,9.2,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
84465,Wit Da Eff,Belgian Witbier,3.5,3.75,3.2,3.4,3.25,Rotating,5.9,28255,Buffalo Bayou Brewing Co,Houston,TX,US,"Brewery, Bar"
